id,brand,condition,creator,door_count,equipment,first_owner,fiscal_power,fuel_type,image_folder,mileage,model,origin,price,publication_date,sector,seller_city,source,title,transmission,year
04f25614-8bd8-4707-9343-c74328e901d6,bentley,Neuf,BEL AIR AUTOShopBadge Icon,5,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques",,34,essence,jlyh918lhxxy_9,52499,Bentayga,Importée neuve,,02/05/2025 16:58,Casablanca,Maarif,avito,Bentley Bentayga Essence Automatique 2017,Automatique,2017
ba8aa1e9-f6ca-4761-94b8-e99717647d74,nissan,Très bon,otoclic casablancaShopBadge Icon,5,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques",Oui,6,essence,zy3dqfvenm9z_3,72499,Juke,WW au Maroc,224000,02/05/2025 17:01,Casablanca,Ain Sebaa,avito,Nissan Juke 1.0 Tekna,Automatique,2022
669dfff7-5ae6-4912-a598-0a731c72f2fa,peugeot,Très bon,madini car centerShopBadge Icon,5,,Non,6,diesel,otgxo8a0uuyy_32,97499,208,WW au Maroc,,02/05/2025 16:59,Tanger,Centre ville,avito,Peugeot 208 Diesel Pack active Automatique 2022,Automatique,2022
7cacf28a-8089-4bae-b212-616c6924dc2c,mini,Excellent,Najib,,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance",,8,diesel,o7w04ifgem6u_21,62499,Cooper,,,02/05/2025 17:00,Casablanca,2 Mars,avito,Mini John Cooper works S,Automatique,2018
3ab2c713-389b-4573-809d-dcaa45f2a494,mercedes-benz,Excellent,AUTO MAHER Luxury CarsShopBadge Icon,5,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques",,8,diesel,epg02n1um54t_22,17499,Classe CLA,Importée neuve,,02/05/2025 16:57,Casablanca,Californie,avito,Mercedes-Benz CLA AMG LINE PLUS 2023,Automatique,2023
d6565436-c07e-4163-8431-a64b4733972d,porsche,Excellent,Marjane AutoShopBadge Icon,5,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques",Oui,11,essence,am08sk81z7mj_35,77499,Macan,Importée neuve,,02/05/2025 16:57,Rabat,Hay el Fath,avito,PORSCHE MACAN ESSENCE,Automatique,2021
9e603017-0582-4fed-ba31-4e70213a494a,audi,Neuf,BEL AIR AUTOShopBadge Icon,5,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques",,17,diesel,4iv1bgcakzg6_6,2499,Q8,Importée neuve,,02/05/2025 16:59,Casablanca,Maarif,avito,Audi Q8 S LINE Diesel 2025,Automatique,2025
c9f29660-5893-4f1e-83ff-6c0c5a409208,peugeot,Excellent,ALD Automotive - Ayvens,,,,6,diesel,t8kh3gz1m7b2_4,92499,208,,160000,02/05/2025 17:01,Casablanca,Lissasfa,avito,Peugeot 208 Diesel Manuelle 2022 à Casablanca,Manuelle,2022
3102caab-475d-4d64-8a95-ff6662e1fd23,renault,Excellent,IlyasShopBadge Icon,5,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques",Oui,6,diesel,ayvbaza6gpth_34,134999,Clio,WW au Maroc,138000,02/05/2025 16:59,Casablanca,Oulfa,avito,Renault Clio Diesel Manuelle 2022 à Casablanca,Manuelle,2022
6512755b-0022-4965-8f56-895f12ae3cd3,toyota,Excellent,otoclic casablancaShopBadge Icon,5,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques",Oui,10,hybride,8ck1xqfkpxeh_2,82499,C-HR,WW au Maroc,234000,02/05/2025 17:02,Casablanca,Ain Sebaa,avito,Toyota C-HR 1.8 Hybride Distinctive plus,Automatique,2020
